term,pos,comment,es_AR
abatement,Noun,,disminución
accountability,Noun,,rendición de cuentas
amendment,Noun,"A tender amendment is a formal change to the tender, and generally involves the publication of a new tender notice/release.",modificación
amount,Noun,,Monto
array,Noun,A list of values in a data structure.,lista
assessment,Noun,,evaluación
award,Noun,,adjudicación
award notice,Noun,,publicación de adjudicación
bid,Noun,,oferta
bid,Verb,,
bidder,Noun,,oferente
bidding documents,Noun,Documents sent by the bidder to bid for a contract.,documentos de la oferta
budget,Noun,A sum of money dedicated to a specific purpose.,presupuesto
budget data package,Noun,The fiscal data package (previously named the budget data package) is an open technical specification created by Open Knowledge International's Frictionless Data project for government budget and spending data.,datos presupuestarios
budget line item,Noun,,partida presupuestaria
building block,Noun,"Common concepts that may occur at multiple points in an OCDS file (e.g. values, items, time periods) and for a common data structure is given.",set de datos
bulk data,Noun,"Bulk data is packaged to allow a user to access all the available data through a small number of downloadable files (often a single download). By contrast, non-bulk data data may be accessed in the form of individual releases, or through an API that provides paginated access to data, requiring multiple API calls to access all available data.   ",
buyer,Noun,The buyer is the entity whose budget will be used to purchase the goods. This may be different from the procuring entity who may be specified in the tender data.,comprador / contratante
classification,Noun,"A system to categorize goods, organizations, services, etc.",calsificación
codelist,Noun,"A list of possible values for a given field, each consisting of a machine readable code, and a human readable title and description. When a field uses a closed codelist, values MUST come from the codelist. When a field uses an open codelist, values SHOULD come from the codelist unless there is a good reason to use other values.",lista de datos / código
community extension,Noun,"An extension created to meet user needs articulated by one or more members of the Open Contracting community, but which is not (yet) considered to be an essential part of OCDS publication. There is no commitment from OCP to maintain this extension on an ongoing basis and it may have had limited OCP input into it's creation. ",extensión comunitaria
competitive dialogue,Noun,,dialogo competitivo
complaint,Noun,,impugnación / queja
conformance,Noun,How well a dataset meets the open contracting data standard. A full evaluation of conformance invovles checking both the syntax (validation) and semantics (alignment of term use) of a dataset. ,aceptación / conformidad
contract,Noun,"A document that, once agreed and signed by all parties, legally binds them.",contrato
contract notice,Noun,,notificación del contrato
contracting body,Noun,,clausulas del contrato
contracting data,Noun,"Data relating to any aspect of the contracting process, as defined in OCDS, including planning, tender, award, contract and implementation.",información del contrato
contracting process,Noun,http://standard.open-contracting.org/1.1/en/getting_started/contracting_process/,proceso de contratación
core,Adjective,"Central to OCDS. We use core to refer to those components of the standard maintained by the Open Contracting Parntership, and which form the essential parts of OCDS.",central
core block,Noun,"A building block that is part of the standard schema, as opposed to building blocks introduced by extensions.",
core extension,Noun,OCDS extension that is part of the OCDS standard and maintained by the OCP.,
criterion,Noun,,criterio
Currency,Noun,The currency for each amount should always be specified using the uppercase 3-letter currency code from ISO4217.,Moneda
data,Noun,"Structured, machine readable, data. ",dato
data model,Noun,,modelo de datos
data publisher,Noun,,publicador de datos
deprecated,Adjective,Usage of deprecated fields is discouraged because they are scheduled to be removed from the standard in a future update.,descontinuado
document,Noun,,documento
electronic auction,Noun,,subasta electrónica
enquiry,Noun,,consulta
equity,Noun,,capital
evaluation,Noun,,evaluación
extension,Noun,,extensión
flattened data,Noun,"Data that is in a flat, table like structure.",dato plano
Former Value,Noun,,Valor anterior
gazetteer,Noun,,ubicación geográfica
globally unique identifier,Noun,,identificador único global
good,Noun,,bien
identifier,Noun,A string a characters that uniquely identifies an entity.,identificador
implementation,Noun,,ejecución
initiation type,Noun,,tipo de contratación
language,Noun,,idioma
limited tender,Noun,A tender that is only advertised to a limited number of potential bidders.,convocatoria limitada
line item,Noun,,renglón
map,Verb,Action of matching the members of two lists.,mapeo
mapping,Noun,Activity of matching the members of two lists.,mapeo
mapping template,Noun,,template de mapeo de datos
milestone,Noun,,hito
monitoring,Noun,,monitoreo
open contracting,Noun,,contrataciones abiertas
open contracting data,Noun,,datos de las contrataciones abiertas
open contracting data standard (OCDS),Noun,,Estándar de datos abiertos
ownership,Noun,,propiedad
package,Noun,A set of OCDS releases or records.,paquete
parties,Noun,Each of the parties (organizations or other participants) referenced in a release must be included in the parties section.,Partes involucradas
payee,Noun,,
planning,Noun,,Planeación
procurement,Noun,,compras / contratación
procurement method,Noun,,procedimiento de selección
procurement pipeline,Noun,,Plan Anual de Contrataciones / Procedimientos Públicados / Procedimientos con Apertura Próxima
procuring agency,Noun,,oficina de contratación
procuring entity,Noun,"The entity managing the procurement. This may be different from the buyer who pays for, or uses, the items being procured.",Entidad contratante
public contract,Noun,,contrato público
public contracting,Noun,,contratación pública
public-private partnership,Noun,,asociación público - privada
public procurement,Noun,,compras / contrataciones públicas
publication pattern,Noun,,patrones de publicación
publisher,Noun,,publicador
rationale,Noun,,justificación
record,Noun,,registro
red flag,Noun,,alerta
relationship,Noun,,relación
release,Noun,,entrega
