term,pos,comment,es_MX
abatement,Noun,,reducción
accountability,Noun,,rendición de cuentas
amendment,Noun,"A tender amendment is a formal change to the tender, and generally involves the publication of a new tender notice/release.",modificación
amount,Noun,,
array,Noun,A list of values in a data structure.,arreglo
assessment,Noun,,evaluación de proposiciones
award,Noun,,adjudicación
award notice,Noun,,Aviso de adjudicación
bid,Noun,,proposición
bid,Verb,,proposición
bidder,Noun,,licitante
bidding documents,Noun,Documents sent by the bidder to bid for a contract.,Documentos de la proposición
budget,Noun,A sum of money dedicated to a specific purpose.,Presupuesto
budget data package,Noun,The fiscal data package (previously named the budget data package) is an open technical specification created by Open Knowledge International's Frictionless Data project for government budget and spending data.,paquete de datos del presupuesto
budget line item,Noun,,clave presupuestaria
building block,Noun,"Common concepts that may occur at multiple points in an OCDS file (e.g. values, items, time periods) and for a common data structure is given.",Componente
bulk data,Noun,"Bulk data is packaged to allow a user to access all the available data through a small number of downloadable files (often a single download). By contrast, non-bulk data data may be accessed in the form of individual releases, or through an API that provides paginated access to data, requiring multiple API calls to access all available data.   ",Concentrado de datos
buyer,Noun,The buyer is the entity whose budget will be used to purchase the goods. This may be different from the procuring entity who may be specified in the tender data.,Comprador
classification,Noun,"A system to categorize goods, organizations, services, etc.",Clasificación
codelist,Noun,"A list of possible values for a given field, each consisting of a machine readable code, and a human readable title and description. When a field uses a closed codelist, values MUST come from the codelist. When a field uses an open codelist, values SHOULD come from the codelist unless there is a good reason to use other values.",Lista de códigos
community extension,Noun,"An extension created to meet user needs articulated by one or more members of the Open Contracting community, but which is not (yet) considered to be an essential part of OCDS publication. There is no commitment from OCP to maintain this extension on an ongoing basis and it may have had limited OCP input into it's creation. ",Extensión comunitaria
competitive dialogue,Noun,,
complaint,Noun,,Inconformidades
conformance,Noun,How well a dataset meets the open contracting data standard. A full evaluation of conformance invovles checking both the syntax (validation) and semantics (alignment of term use) of a dataset. ,
contract,Noun,"A document that, once agreed and signed by all parties, legally binds them.",Contrato
contract notice,Noun,,Notificación de la adjudicación del contrato
contracting body,Noun,,Cuerpo del contrato
contracting data,Noun,"Data relating to any aspect of the contracting process, as defined in OCDS, including planning, tender, award, contract and implementation.",Datos del contrato
contracting process,Noun,http://standard.open-contracting.org/1.1/en/getting_started/contracting_process/,Procedimiento de contratación
core,Adjective,"Central to OCDS. We use core to refer to those components of the standard maintained by the Open Contracting Parntership, and which form the essential parts of OCDS.",principal
core block,Noun,"A building block that is part of the standard schema, as opposed to building blocks introduced by extensions.",Componente principal
core extension,Noun,OCDS extension that is part of the OCDS standard and maintained by the OCP.,Extensión principal
criterion,Noun,,criterio
Currency,Noun,The currency for each amount should always be specified using the uppercase 3-letter currency code from ISO4217.,Moneda
data,Noun,"Structured, machine readable, data. ",Datos
data model,Noun,,Modelo de datos
data publisher,Noun,,Publicador de datos
deprecated,Adjective,Usage of deprecated fields is discouraged because they are scheduled to be removed from the standard in a future update.,descontinuado
document,Noun,,Documento
electronic auction,Noun,,Subasta electrónica
enquiry,Noun,,solicitud de aclaración
equity,Noun,,capital
evaluation,Noun,,Evaluación
extension,Noun,,extensión
flattened data,Noun,"Data that is in a flat, table like structure.",
Former Value,Noun,,Valor anterior
gazetteer,Noun,,diccionario geográfico
globally unique identifier,Noun,,Identificador único global
good,Noun,,Bien
identifier,Noun,A string a characters that uniquely identifies an entity.,Identificador
implementation,Noun,,Ejecución
initiation type,Noun,,Tipo de inicio
language,Noun,,Idioma
limited tender,Noun,A tender that is only advertised to a limited number of potential bidders.,Licitación limitada
line item,Noun,,partida
map,Verb,Action of matching the members of two lists.,relacionar
mapping,Noun,Activity of matching the members of two lists.,relacionar
mapping template,Noun,,Plantilla para mapeo de datos
milestone,Noun,,hito
monitoring,Noun,,Seguimiento
open contracting,Noun,,contrataciones abiertas
open contracting data,Noun,,datos de contrataciones abiertas
open contracting data standard (OCDS),Noun,,Estándar de Datos de Contrataciones Abiertas
ownership,Noun,,propiedad
package,Noun,A set of OCDS releases or records.,paquete
parties,Noun,Each of the parties (organizations or other participants) referenced in a release must be included in the parties section.,
payee,Noun,,receptor
planning,Noun,,Planeación
procurement,Noun,,contratación
procurement method,Noun,,Método de contratación
procurement pipeline,Noun,,Plan de contrataciones
procuring agency,Noun,,entidad contratante
procuring entity,Noun,"The entity managing the procurement. This may be different from the buyer who pays for, or uses, the items being procured.",
public contract,Noun,,contrato público
public contracting,Noun,,contratación pública
public-private partnership,Noun,,asociación pública privada
public procurement,Noun,,contratación pública
publication pattern,Noun,,patrón de publicación
publisher,Noun,,publicador
rationale,Noun,,justificación
record,Noun,,Registro
red flag,Noun,,Bandera roja
relationship,Noun,,relación
release,Noun,,Publicación
restricted procedure,Noun,,procedimiento restingido
reusable tools,Noun,,Herramientas reutilizables
review body,Noun,,auditor
role,Noun,,función
schema,Noun,,Esquema
schema reference,Noun,"More or less synonym of ""documentation"".",Documentación del esquema
service,Noun,,servicio
signatory,Noun,,firmante
standard,Noun,"""A rule or set of rules or requirements which are widely agreed upon or imposed by government."" (Wiktionary)",estándar
standing offer,Noun,,
status,Noun,,estatus
string,Noun,,cadena
subcontract,Noun,,subcontratar
subcontractor,Noun,,Subcontratistas
supplier,Noun,,Proveedor o contratista
tag,Noun,,Etiqueta
tender,Noun,,Licitación
tender notice,Noun,,Publicación de la licitación
tenderer,Noun,,licitante
tendering organization,Noun,,Organización de la licitación
transaction,Noun,,Transacción
unique indentifier,Noun,,Identificador único
use case,Noun,,Caso de uso
valid,Adjective,,Válido
validation,Noun,Validation involves a technical check on the way data is structured and formatted. http://standard.open-contracting.org/1.1/en/getting_started/validation/ ,Validación
validator,Noun,,Validador
works,Noun,,Obra pública
